callsite,destination offset,destination ELF image
0x1068,0x74a50,interpreter
0x1249,0x1130,binary
0x119c,0x1140,binary
0x1030,0x1036,binary
0x1026,0x166d0,interpreter
0x119c,0x1160,binary
0x1030,0xa5230,interpreter
0x1102,0x8c9c0,interpreter
